description	biosample	sra	organism	host	date	location	   elevation	lat_lon
soilG2649	SAMN02864379	SRS651196	soil metagenome	NA	2011	Australia:WA:Beaufort River	261	-33.54495 117.08714
soilG2650	SAMN02864380	SRS651197	soil metagenome	NA	2011	Australia:WA:Tarwonga	315	-33.18 117.0478
soilG2653	SAMN02864381	SRS651198	soil metagenome	NA	2011	Papua New Guinea:Warirata	832	-9.4347 147.35164
soilG2655	SAMN02864382	SRS651199	soil metagenome	NA	2011	Papua New Guinea:Warirata	865	-9.4448 147.34867
soilG2657	SAMN02864383	SRS651200	soil metagenome	NA	2011	Papua New Guinea:Warirata	885	-9.44475 147.34958
soilG2658	SAMN02864384	SRS651201	soil metagenome	NA	2011	Papua New Guinea:Warirata	738	-9.43501 147.37553
soilG2659	SAMN02864385	SRS651202	soil metagenome	NA	2011	Papua New Guinea:Rauna Falls	282	-9.41755 147.37845
soilG2660	SAMN02864386	SRS651203	soil metagenome	NA	2011	Papua New Guinea:Rauna	379	-9.42183 147.36922
soilG2661	SAMN02864387	SRS651204	soil metagenome	NA	2011	Papua New Guinea:Bawituc	254	-6.63903 146.90886
soilG2662	SAMN02864388	SRS651205	soil metagenome	NA	2011	Papua New Guinea:Oomsis	155	-6.71287 146.80747
soilG2663	SAMN02864389	SRS651206	soil metagenome	NA	2011	Papua New Guinea:Kamiali	318	-7.30435 147.10349
soilG2664	SAMN02864390	SRS651207	soil metagenome	NA	2011	Papua New Guinea:Kamiali	144	-7.30579 147.1175
soilG2666	SAMN02864391	SRS651208	soil metagenome	NA	2011	Papua New Guinea:Kamiali	69	-7.30575 147.11343
soilG2667	SAMN02864392	SRS651209	soil metagenome	NA	2011	Papua New Guinea:Kamiali	48	-7.30501 147.11808
soilG2669	SAMN02864393	SRS651210	soil metagenome	NA	2011	Papua New Guinea:Kamiali	52	-7.30364 147.13239
soilG2674	SAMN02864394	SRS651211	soil metagenome	NA	2011	Papua New Guinea:Kamiali	54	-7.28121 147.12511
soilG2675	SAMN02864395	SRS651212	soil metagenome	NA	2011	Papua New Guinea:Bawituc	27	-6.65241 146.89122
soilG2676	SAMN02864396	SRS651213	soil metagenome	NA	2011	Papua New Guinea:Daulo Pass	2605	-6.05495 145.23591
soilG2677	SAMN02864397	SRS651215	soil metagenome	NA	2011	Papua New Guinea:Mt Ghavisuka top	2457	-6.01732 145.41601
soilG2678	SAMN02864398	SRS651214	soil metagenome	NA	2011	Papua New Guinea:Mt Gahavisuka	2333	-6.01488 145.41287
soilG2679	SAMN02864399	SRS651216	soil metagenome	NA	2011	Papua New Guinea:Mt Gahavisuka	2221	-6.01602 145.40921
soilG2700	SAMN02864400	SRS651217	soil metagenome	NA	2011	Papua New Guinea:Mt Wilhelm	3555	-5.79035 145.05771
soilG2728	SAMN02864401	SRS651218	soil metagenome	NA	2011	Papua New Guinea:Mondiai	2814	-5.82124 145.14143
soilG2729	SAMN02864402	SRS651219	soil metagenome	NA	2011	Papua New Guinea:Mondiai	2700	-5.81546 145.15478
soilG2730	SAMN02864403	SRS651220	soil metagenome	NA	2011	Papua New Guinea:Mondiai	2697	-5.8146 145.15822
soilFIN001	SAMN02864293	SRS651109	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.7 21.7
soilFIN002	SAMN02864294	SRS651110	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.7 21.7
soilFIN003	SAMN02864295	SRS651111	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.7 21.7
soilFIN004	SAMN02864296	SRS651112	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.7 21.7
soilFIN008	SAMN02864297	SRS651114	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.7 21.7
soilFIN011	SAMN02864298	SRS651113	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.7 21.7
soilFIN013	SAMN02864299	SRS651115	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.7 21.7
soilFIN014	SAMN02864300	SRS651116	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.7 21.7
soilFIN015	SAMN02864301	SRS651117	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.7 21.7
soilFIN016	SAMN02864302	SRS651118	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.7 21.7
soilFIN017	SAMN02864303	SRS651119	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.7 21.7
soilFIN018	SAMN02864304	SRS651120	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.7 21.7
soilFIN019	SAMN02864305	SRS651121	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.7 21.7
soilFIN020	SAMN02864306	SRS651122	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.7 21.7
soilFIN022	SAMN02864307	SRS651123	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.7 21.7
soilFIN024	SAMN02864308	SRS651124	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.7 21.7
soilFIN026	SAMN02864309	SRS651125	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.7 21.7
soilFIN027	SAMN02864310	SRS651126	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.7 21.7
soilFIN029	SAMN02864311	SRS651127	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.7 21.7
soilFIN032	SAMN02864312	SRS651128	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.7 21.7
soilFIN033	SAMN02864313	SRS651129	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.7 21.7
soilFIN034	SAMN02864314	SRS651130	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.7 21.7
soilFIN078	SAMN02864315	SRS651131	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.8 21.7
soilFIN079	SAMN02864316	SRS651132	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.8 21.7
soilFIN082	SAMN02864317	SRS651133	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.8 21.7
soilFIN083	SAMN02864318	SRS651134	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.8 21.7
soilFIN084	SAMN02864319	SRS651135	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.8 21.7
soilFIN085	SAMN02864320	SRS651136	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.8 21.7
soilFIN086	SAMN02864321	SRS651138	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.8 21.7
soilFIN088	SAMN02864322	SRS651139	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.8 21.7
soilFIN090	SAMN02864323	SRS651140	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.8 21.7
soilFIN091	SAMN02864324	SRS651141	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.8 21.7
soilFIN092	SAMN02864325	SRS651142	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.8 21.7
soilFIN094	SAMN02864326	SRS651143	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.8 21.7
soilFIN095	SAMN02864327	SRS651144	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.8 21.7
soilFIN098	SAMN02864328	SRS651145	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.8 21.7
soilFIN101	SAMN02864329	SRS651146	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.8 21.7
soilFIN102	SAMN02864330	SRS651147	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.8 21.7
soilFIN106	SAMN02864331	SRS651148	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.8 21.7
soilFIN107	SAMN02864332	SRS651149	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.8 21.7
soilFIN110	SAMN02864333	SRS651150	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.8 21.7
soilFIN111	SAMN02864334	SRS651151	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.8 21.7
soilFIN114	SAMN02864335	SRS651152	soil metagenome	NA	2011-07	Finland: Satakunta	40	61.8 21.7
soilG2575	SAMN02864284	SRS651101	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.27111 27.31184
soilG2576	SAMN02864285	SRS651100	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.27306 27.31827
soilG2577	SAMN02864286	SRS651102	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.26895 27.32285
soilG2578	SAMN02864287	SRS651103	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.28548 27.36019
soilG2579	SAMN02864288	SRS651104	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.28426 27.33501
soilG2580	SAMN02864289	SRS651105	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.27872 27.32624
soilG2581	SAMN02864290	SRS651106	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.27893 27.32733
soilG2615	SAMN02864291	SRS651108	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.25923 27.2979
soilG2616	SAMN02864292	SRS651107	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.26102 27.30141
soilG2554	SAMN02864264	SRS651080	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.27797 27.32377
soilG2555	SAMN02864265	SRS651081	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.27624 27.32687
soilG2556	SAMN02864266	SRS651082	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.26945 27.3335
soilG2557	SAMN02864267	SRS651083	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.276 27.33773
soilG2558	SAMN02864268	SRS651084	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.27534 27.33476
soilG2559	SAMN02864269	SRS651085	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.27285 27.33115
soilG2560	SAMN02864270	SRS651086	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.27251 27.32972
soilG2561	SAMN02864271	SRS651087	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.27091 27.31735
soilG2562	SAMN02864272	SRS651088	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.26206 27.3179
soilG2563	SAMN02864273	SRS651089	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.26203 27.31185
soilG2564	SAMN02864274	SRS651090	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.26329 27.31156
soilG2565	SAMN02864275	SRS651091	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.26353 27.30645
soilG2566	SAMN02864276	SRS651092	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.28122 27.29928
soilG2567	SAMN02864277	SRS651093	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.27957 27.31049
soilG2568	SAMN02864278	SRS651094	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.28031 27.31255
soilG2569	SAMN02864279	SRS651095	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.27645 27.31041
soilG2570	SAMN02864280	SRS651096	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.2704 27.30979
soilG2571	SAMN02864281	SRS651097	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.29075 27.32895
soilG2573	SAMN02864282	SRS651098	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.29013 27.32669
soilG2574	SAMN02864283	SRS651099	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.289 27.31072
soilG2541	SAMN02864252	SRS651068	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.27711 27.32472
soilG2542	SAMN02864253	SRS651069	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.27644 27.32429
soilG2543	SAMN02864254	SRS651070	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.27508 27.3247
soilG2544	SAMN02864255	SRS651071	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.27423 27.32412
soilG2545	SAMN02864256	SRS651072	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.27515 27.32349
soilG2546	SAMN02864257	SRS651073	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.27618 27.32274
soilG2547	SAMN02864258	SRS651074	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.27258 27.32785
soilG2548	SAMN02864259	SRS651075	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.27117 27.32785
soilG2550	SAMN02864260	SRS651076	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.28339 27.32315
soilG2551	SAMN02864261	SRS651077	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.28328 27.32476
soilG2552	SAMN02864262	SRS651078	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.28402 27.32152
soilG2553	SAMN02864263	SRS651079	soil metagenome	NA	2011-07	Estonia: Jarvselja	40	58.27779 27.32098
MIMARKS Specimen sample from root metagenome	SAMN07143030	SRS2209421	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143038	SRS2209454	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143075	SRS2209463	root metagenome	Arabis alpina	Jul-2013	France: Col du Galibier	NA	45.060678 6.402445
MIMARKS Specimen sample from root metagenome	SAMN07143080	SRS2209431	root metagenome	Arabis alpina	Sep-2014	France: Col du Galibier	NA	45.060678 6.402445
MIMARKS Specimen sample from root metagenome	SAMN07143077	SRS2209456	root metagenome	Arabis alpina	Sep-2014	France: Col du Galibier	NA	45.060678 6.402445
MIMARKS Specimen sample from root metagenome	SAMN07143076	SRS2209457	root metagenome	Arabis alpina	Sep-2014	France: Col du Galibier	NA	45.060678 6.402445
MIMARKS Specimen sample from root metagenome	SAMN07143053	SRS2209460	root metagenome	not applicable	Oct-2014	Germany:University of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07142991	SRS2209465	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07143001	SRS2209446	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07143002	SRS2209428	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07142977	SRS2209416	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07142996	SRS2209452	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07143003	SRS2209430	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07142999	SRS2209448	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07143078	SRS2209445	root metagenome	Arabis alpina	Jul-2013	France: Col du Galibier	NA	45.060678 6.402445
MIMARKS Specimen sample from root metagenome	SAMN07143079	SRS2209429	root metagenome	Arabis alpina	Sep-2014	France: Col du Galibier	NA	45.060678 6.402445
MIMARKS Specimen sample from root metagenome	SAMN07143064	SRS2209417	root metagenome	Arabis alpina	Sep-2014	France: Col du Galibier	NA	45.060678 6.402445
MIMARKS Specimen sample from root metagenome	SAMN07143063	SRS2209415	root metagenome	Arabis alpina	Sep-2014	France: Col du Galibier	NA	45.060678 6.402445
MIMARKS Specimen sample from root metagenome	SAMN07143069	SRS2209455	root metagenome	Arabis alpina	Sep-2014	France: Col du Galibier	NA	45.060678 6.402445
MIMARKS Specimen sample from root metagenome	SAMN07142997	SRS2209453	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07143000	SRS2209449	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07142998	SRS2209468	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07142993	SRS2209466	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07142981	SRS2209441	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07143041	SRS2209461	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143048	SRS2209447	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143037	SRS2209434	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143033	SRS2209424	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143036	SRS2209440	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143046	SRS2209469	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143045	SRS2209470	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143026	SRS2209412	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143040	SRS2209458	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07142994	SRS2209450	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07142995	SRS2209451	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07142992	SRS2209462	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07142983	SRS2209436	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07142978	SRS2209418	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07142979	SRS2209422	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07142980	SRS2209426	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07142982	SRS2209442	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07142986	SRS2209419	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07143068	SRS2209439	root metagenome	Arabis alpina	Jul-2013	France: Col du Galibier	NA	45.060678 6.402445
MIMARKS Specimen sample from root metagenome	SAMN07143070	SRS2209433	root metagenome	Arabis alpina	Jul-2013	France: Col du Galibier	NA	45.060678 6.402445
MIMARKS Specimen sample from root metagenome	SAMN07143067	SRS2209443	root metagenome	Arabis alpina	Jul-2013	France: Col du Galibier	NA	45.060678 6.402445
MIMARKS Specimen sample from root metagenome	SAMN07143065	SRS2209438	root metagenome	Arabis alpina	Sep-2014	France: Col du Galibier	NA	45.060678 6.402445
MIMARKS Specimen sample from root metagenome	SAMN07143066	SRS2209427	root metagenome	Arabis alpina	Sep-2014	France: Col du Galibier	NA	45.060678 6.402445
MIMARKS Specimen sample from root metagenome	SAMN07143071	SRS2209432	root metagenome	Arabis alpina	Sep-2014	France: Col du Galibier	NA	45.060678 6.402445
MIMARKS Specimen sample from root metagenome	SAMN07142985	SRS2209435	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07142976	SRS2209411	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07143035	SRS2209444	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143032	SRS2209425	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143044	SRS2209464	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143027	SRS2209413	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143031	SRS2209420	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143034	SRS2209423	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143047	SRS2209467	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07142984	SRS2209437	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07142974	SRS2209414	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07143052	SRS2209459	root metagenome	not applicable	Oct-2014	Germany:University of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143051	SRS2209376	root metagenome	Arabis alpina	Oct-2014	Germany:University of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143054	SRS2209358	root metagenome	Arabis alpina	Oct-2014	Germany:University of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07142990	SRS2209367	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07142969	SRS2209382	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07143013	SRS2209372	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143012	SRS2209374	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143022	SRS2209391	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143024	SRS2209388	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143042	SRS2209360	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143018	SRS2209381	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143055	SRS2209401	root metagenome	Arabis alpina	Jul-2013	France: Col du Galibier	NA	45.060678 6.402445
MIMARKS Specimen sample from root metagenome	SAMN07143062	SRS2209395	root metagenome	Arabis alpina	Jul-2013	France: Col du Galibier	NA	45.060678 6.402445
MIMARKS Specimen sample from root metagenome	SAMN07143049	SRS2209406	root metagenome	not applicable	Oct-2014	Germany:University of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07142958	SRS2209400	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07142972	SRS2209387	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07142960	SRS2209351	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07143056	SRS2209407	root metagenome	Arabis alpina	Jul-2013	France: Col du Galibier	NA	45.060678 6.402445
MIMARKS Specimen sample from root metagenome	SAMN07143074	SRS2209363	root metagenome	Arabis alpina	Jul-2013	France: Col du Galibier	NA	45.060678 6.402445
MIMARKS Specimen sample from root metagenome	SAMN07143057	SRS2209373	root metagenome	Arabis alpina	Jul-2013	France: Col du Galibier	NA	45.060678 6.402445
MIMARKS Specimen sample from root metagenome	SAMN07143058	SRS2209370	root metagenome	Arabis alpina	Jul-2013	France: Col du Galibier	NA	45.060678 6.402445
MIMARKS Specimen sample from root metagenome	SAMN07143072	SRS2209359	root metagenome	Arabis alpina	Sep-2014	France: Col du Galibier	NA	45.060678 6.402445
MIMARKS Specimen sample from root metagenome	SAMN07143004	SRS2209399	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143008	SRS2209352	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143029	SRS2209409	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143019	SRS2209384	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143015	SRS2209375	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143016	SRS2209377	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143023	SRS2209394	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143043	SRS2209364	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07143020	SRS2209385	root metagenome	Arabis alpina	Oct-2014	Germany:greenhouse university of Cologne	NA	50.926767 6.936018
MIMARKS Specimen sample from root metagenome	SAMN07142971	SRS2209392	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
MIMARKS Specimen sample from root metagenome	SAMN07142987	SRS2209361	root metagenome	Arabis alpina	Sep-2013	France: Joseph Fourier Alpine Station	NA	45.036455 6.399846
